::ffff:192.168.1.4 | - | 404 PUT /v1/student/update | Thu, 03 Oct 2024 06:31 PM GMT+05:30 | 0.479 ms 
::ffff:192.168.1.4 | - | 404 PUT /v1/student/update | Thu, 03 Oct 2024 06:32 PM GMT+05:30 | 0.606 ms 
::ffff:192.168.1.4 | - | 404 PUT /v1/student/update | Thu, 03 Oct 2024 06:32 PM GMT+05:30 | 0.629 ms 
::ffff:192.168.1.4 | - | 404 PUT /v1/student/update | Thu, 03 Oct 2024 06:33 PM GMT+05:30 | 2.034 ms 
::ffff:192.168.1.4 | - | 200 POST /v1/admin/login | Thu, 03 Oct 2024 06:33 PM GMT+05:30 | 81.517 ms 
::ffff:192.168.1.4 | - | 404 PUT /v1/student/update | Thu, 03 Oct 2024 06:33 PM GMT+05:30 | 1.517 ms 
::ffff:192.168.1.4 | - | 401 PUT /v1/student/update | Thu, 03 Oct 2024 06:34 PM GMT+05:30 | 28.170 ms 
::ffff:192.168.1.4 | - | 401 PUT /v1/student/update | Thu, 03 Oct 2024 06:34 PM GMT+05:30 | 4.132 ms 
::ffff:192.168.1.4 | - | 400 PUT /v1/student/update | Thu, 03 Oct 2024 06:35 PM GMT+05:30 | 13.878 ms 
::ffff:192.168.1.4 | - | 400 PUT /v1/student/update | Thu, 03 Oct 2024 06:35 PM GMT+05:30 | 46.982 ms 
::ffff:192.168.1.4 | - | 400 PUT /v1/student/update | Thu, 03 Oct 2024 06:36 PM GMT+05:30 | 9.486 ms 
::ffff:192.168.1.4 | - | 400 PUT /v1/student/update | Thu, 03 Oct 2024 06:36 PM GMT+05:30 | 2.002 ms 
::ffff:192.168.1.4 | - | 400 PUT /v1/student/update | Thu, 03 Oct 2024 06:37 PM GMT+05:30 | 38.611 ms 
::ffff:192.168.1.4 | - | 200 PUT /v1/student/update | Thu, 03 Oct 2024 06:40 PM GMT+05:30 | 88.389 ms 
::ffff:192.168.1.4 | - | 400 PUT /v1/student/update | Thu, 03 Oct 2024 06:41 PM GMT+05:30 | 7.351 ms 
::ffff:192.168.1.4 | - | 200 PUT /v1/student/update | Thu, 03 Oct 2024 06:41 PM GMT+05:30 | 9.516 ms 
::ffff:192.168.1.6 | - | 200 GET / | Fri, 04 Oct 2024 09:29 AM GMT+05:30 | 9.668 ms 
::ffff:192.168.1.6 | - | 404 GET /favicon.ico | Fri, 04 Oct 2024 09:29 AM GMT+05:30 | 2.533 ms 
::ffff:192.168.1.6 | - | 200 POST /v1/admin/login | Fri, 04 Oct 2024 09:36 AM GMT+05:30 | 115.904 ms 
::ffff:192.168.1.6 | - | 200 GET /v1/campus/list | Fri, 04 Oct 2024 09:36 AM GMT+05:30 | 11.140 ms 
